id,file_name,x1,y1,x2,y2,label
1,10.png,337.88,142.6,431.86,250.86,3
2,11.png,265.43,130.67,380.69,193.28,3
3,13.png,212.48,212.0,306.89,259.98,3
4,14.png,197.5,78.35,331.23,155.6,3
5,17.png,148.5,159.0,297.52,239.56,3
6,18.png,341.6,179.9,471.9,305.7,3
7,19.png,104.44,78.7,200.04,136.78,3
8,2.png,229.09,117.5,490.58,259.09000000000003,3
9,21.png,233.9,140.3,333.46000000000004,194.13,3
10,21939009758_18d6e80611_b.jpg,338.75,295.62,623.4200000000001,433.72,3
11,22 (2).png,229.6,67.6,350.98,156.31,3
12,23.png,118.64,134.5,278.87,197.73,3
13,24.png,121.1,242.41,387.77,497.6,3
14,26.png,103.9,121.04,190.09,165.59,3
15,3.png,22.81,53.92,335.1,170.2,3
16,4.png,307.66,168.93,358.84000000000003,189.84,3
16,4.png,180.97,183.17,255.9,242.04,3
16,4.png,300.22,241.33,318.35,261.27000000000004,3
16,4.png,348.06,182.57,492.56,241.44,3
17,43.jpg,200.63,90.76,367.84,187.93,3
18,44.jpg,324.21,109.1,551.0799999999999,180.5,3
19,46.jpg,60.49,318.7,150.16,456.44,3
19,46.jpg,859.84,557.0,932.0,643.83,3
19,46.jpg,191.9,123.3,624.98,386.14,3
19,46.jpg,680.64,435.65,775.0699999999999,569.79,3
20,47.jpg,0.0,618.22,56.04,643.46,3
20,47.jpg,253.94,267.3,601.73,402.16,3
20,47.jpg,57.85,557.54,78.87,600.8,3
21,48.jpg,71.37,20.18,202.34,67.3,3
22,5.png,151.7,0.0,504.7,145.03,3
23,5990832782_1725022d9c_b.jpg,67.62,320.9,142.0,454.41,3
23,5990832782_1725022d9c_b.jpg,679.56,436.75,776.14,570.86,3
23,5990832782_1725022d9c_b.jpg,190.9,127.33,631.09,392.25,3
23,5990832782_1725022d9c_b.jpg,856.62,556.9,927.45,645.97,3
24,6.png,436.36,241.6,486.0,259.39,3
24,6.png,354.3,247.3,418.23,285.1,3
24,6.png,30.04,242.5,60.17,273.87,3
25,7.png,0.22,128.55,101.97,179.42000000000002,3
25,7.png,125.58,224.7,140.8,245.26,3
26,8.png,159.3,104.5,263.84000000000003,176.67000000000002,3
27,9.png,143.91,42.41,246.37,147.89999999999998,3
28,ADIWELE.png,187.9,42.6,531.6,236.05,3
28,ADIWELE.png,192.8,241.29,301.33000000000004,311.04,3
29,B.png,109.67,90.32,578.9,244.92,3
30,BBBBBB.png,273.93,194.66,546.6,261.52,3
31,BLUE DOWNS.png,55.94,89.6,412.3,283.9,3
32,Ej8zp1jX0AAS7hk.jpg,76.1,407.8,847.4,789.4100000000001,3
33,Screenshot 2022-05-18 140700.png,950.9,166.2,1161.04,357.63,3
34,Screenshot 2022-05-18 150705.png,794.88,232.21,860.68,286.4,3
35,Screenshot 2022-05-18 152243.png,527.5,263.8,629.39,364.4,3
36,Screenshot 2022-05-18 152338.png,583.37,152.93,621.6,197.9,3
37,Screenshot 2022-05-19 121350.png,271.4,262.84,319.49,318.98999999999995,3
38,Screenshot 2022-05-19 121410.png,74.12,31.4,105.13,67.17,3
39,Screenshot 2022-05-19 122029.png,69.3,59.0,253.81,219.33,3
40,Screenshot 2022-05-19 122141.png,49.87,23.51,139.94,109.37,3
41,Screenshot 2022-05-19 122300.png,29.5,32.0,109.4,105.94,3
42,Screenshot 2022-05-19 122453.png,37.8,62.6,180.37,194.2,3
43,Screenshot 2022-05-19 131252 - Copy.png,896.47,292.7,942.1,340.16,3
44,Screenshot 2022-05-19 131754 - Copy (2).png,567.56,328.79,596.01,353.05,2
44,Screenshot 2022-05-19 131754 - Copy (2).png,81.44,316.7,147.55,387.02,3
